id;nombre_espanol;nombre_archivo;nivel;tipo_ejercicio;posicion;areas_cuerpo;duracion_segundos;requiere_equipo;equipo_necesario;evitar_si_limitacion;objetivos;descripcion_corta;descripcion_completa;instrucciones_clave;beneficios;precauciones;clasificado_por;verificado_manualmente;notas_admin
202;Alcance con Una Pierna Izquierda;Single_Leg_Reach_Left.mov;intermedio;equilibrio | fuerza | estabilidad;de_pie;piernas | core | gluteos;;f;"";rodillas | cadera | espalda;equilibrio | fuerza | confianza | postura;Ejercicio de equilibrio donde se mantiene el apoyo en una pierna mientras se alcanza hacia adelante o hacia abajo con la pierna izquierda elevada.;Este ejercicio consiste en mantenerse de pie sobre la pierna derecha mientras se eleva la pierna izquierda hacia atrás y se inclina el torso hacia adelante, alcanzando con las manos hacia el suelo o hacia adelante. Trabaja el equilibrio unilateral, fortalece los músculos estabilizadores de la pierna de apoyo, el core y los glúteos. Es ideal para mejorar la estabilidad funcional y prevenir caídas.;Colócate de pie con los pies separados al ancho de caderas | Transfiere el peso a la pierna derecha y levanta ligeramente la pierna izquierda | Inclínate hacia adelante desde la cadera mientras extiendes la pierna izquierda hacia atrás | Alcanza con las manos hacia el suelo o hacia adelante manteniendo la espalda recta | Mantén el equilibrio durante 3-5 segundos y regresa a la posición inicial controladamente;Mejora el equilibrio y la estabilidad unilateral | Fortalece piernas, glúteos y músculos del core | Previene caídas al mejorar la propiocepción | Aumenta la fuerza funcional para actividades diarias;Mantener una silla o pared cerca para apoyo si es necesario | No forzar la inclinación si hay molestias en la espalda baja | Evitar si hay problemas de equilibrio severos sin supervisión | No bloquear la rodilla de apoyo, mantenerla ligeramente flexionada;ia;f;
203;Alcance con una pierna derecha;Single_Leg_Reach_Right.mov;intermedio;equilibrio | fuerza | estabilidad | movilidad;de_pie;piernas | core | gluteos | espalda;;f;"";rodillas | cadera | espalda;equilibrio | fuerza | confianza | postura;Ejercicio de equilibrio en el que se mantiene el apoyo sobre la pierna izquierda mientras se extiende la pierna derecha hacia atrás y se inclina el tronco hacia adelante.;Este ejercicio consiste en mantenerse de pie sobre una sola pierna (izquierda) mientras se extiende la pierna derecha hacia atrás y se inclina el tronco hacia adelante, alcanzando con las manos hacia el suelo o hacia adelante. El movimiento trabaja el equilibrio, la estabilidad del core y fortalece los músculos de la pierna de apoyo y los glúteos. Requiere control corporal y coordinación.;Comienza de pie con los pies juntos, activa el abdomen | Transfiere el peso a la pierna izquierda, mantén la rodilla ligeramente flexionada | Inclínate hacia adelante desde la cadera mientras extiendes la pierna derecha hacia atrás | Extiende los brazos hacia adelante o hacia el suelo para mantener el equilibrio | Mantén la espalda recta y el core activo durante todo el movimiento | Regresa lentamente a la posición inicial con control;Mejora significativamente el equilibrio y la propiocepción | Fortalece los músculos estabilizadores de la pierna de apoyo | Activa y fortalece el core y los glúteos | Mejora la coordinación y el control corporal | Previene caídas al desarrollar estabilidad unilateral;Tener un apoyo cercano (silla o pared) disponible para sujetarse si es necesario | No forzar la extensión de la pierna si causa dolor en la cadera o espalda baja | Evitar si hay problemas severos de equilibrio o vértigo | No realizar si hay dolor agudo en rodillas o cadera | Mantener la rodilla de apoyo ligeramente flexionada, nunca bloqueada;ia;f;
35;Burpee y Salto con Rodillas al Pecho;Count_Burpee_and_Tuck_Jump.mov;avanzado;cardio | fuerza | equilibrio;de_pie;piernas | core | brazos | espalda | hombros | gluteos | pecho;;f;"";espalda | rodillas | hombros | munecas | cuello | cadera;fuerza | equilibrio | confianza;Ejercicio de alta intensidad que combina burpees con saltos explosivos llevando las rodillas al pecho, diseñado para condición física avanzada.;Este es un ejercicio de entrenamiento de alta intensidad que combina dos movimientos complejos: el burpee (descenso al suelo con plancha y levantamiento) seguido de un salto vertical explosivo donde se llevan las rodillas hacia el pecho. Requiere fuerza total del cuerpo, coordinación avanzada, excelente salud cardiovascular y articulaciones sanas. Es un ejercicio de impacto muy alto diseñado para atletas o personas con condición física excepcional.;Desde posición de pie, descender en cuclillas y colocar manos en el suelo | Saltar pies hacia atrás para posición de plancha, realizar flexión opcional | Saltar pies de regreso hacia las manos y realizar un salto explosivo vertical | Durante el salto, llevar ambas rodillas hacia el pecho lo más alto posible | Aterrizar con control y repetir el ciclo completo;Mejora excepcional de la capacidad cardiovascular y resistencia | Desarrollo de fuerza explosiva en todo el cuerpo | Incremento significativo de la coordinación y agilidad;NO RECOMENDADO para personas mayores o con movilidad limitada | Completamente contraindicado para cualquier limitación articular | Alto riesgo de lesión en rodillas, espalda, muñecas y hombros | Requiere supervisión profesional y calentamiento extenso;ia;f;
36;Burpees;Count_Burpees.mov;avanzado;cardio | fuerza | estabilidad;de_pie;piernas | core | brazos | pecho | hombros | gluteos;;f;"";espalda | rodillas | hombros | munecas | cuello | cadera;fuerza | movilidad | equilibrio;Ejercicio de alto impacto que combina sentadilla, plancha y salto en un movimiento continuo y explosivo.;Los burpees son un ejercicio de cuerpo completo de alta intensidad que involucra múltiples grupos musculares. Consiste en descender a posición de cuclillas, llevar las piernas atrás a plancha, realizar una flexión opcional, volver a cuclillas y saltar verticalmente. Es un ejercicio cardiovascular muy exigente que requiere fuerza, coordinación y resistencia significativas.;Comenzar de pie, descender en cuclillas y apoyar manos en el suelo | Saltar con los pies hacia atrás hasta posición de plancha | Realizar una flexión de brazos (opcional) | Saltar con los pies hacia adelante regresando a cuclillas | Saltar verticalmente con brazos extendidos hacia arriba | Aterrizar suavemente y repetir el movimiento;Mejora significativa de la capacidad cardiovascular y resistencia | Fortalecimiento integral de todo el cuerpo | Quema calórica elevada y acondicionamiento metabólico;NO recomendado para personas mayores o con movilidad limitada | Alto riesgo de lesiones en rodillas, muñecas y espalda baja | Requiere supervisión profesional y excelente condición física previa | Evitar completamente si hay cualquier limitación articular o cardiovascular;ia;f;
28;Burpees;Burpees.mov;avanzado;fuerza | cardio | estabilidad;de_pie;piernas | core | brazos | espalda | hombros | gluteos | pecho;;f;"";espalda | rodillas | hombros | munecas | cuello | cadera;fuerza | confianza;Ejercicio de cuerpo completo de alta intensidad que combina sentadilla, plancha, flexión y salto en un movimiento continuo.;Los burpees son un ejercicio avanzado de alta intensidad que trabaja todo el cuerpo. Consiste en bajar a posición de sentadilla, colocar las manos en el suelo, lanzar los pies hacia atrás en plancha, realizar una flexión opcional, regresar los pies saltando hacia las manos y finalizar con un salto vertical explosivo. Es un ejercicio cardiovascular exigente que requiere fuerza, coordinación y resistencia significativas.;Desde de pie, bajar a sentadilla profunda con manos en el suelo | Lanzar los pies hacia atrás para quedar en posición de plancha alta | Realizar una flexión de pecho (opcional) | Saltar con los pies hacia las manos regresando a sentadilla | Saltar explosivamente hacia arriba con brazos extendidos | Aterrizar suavemente y repetir el movimiento de forma fluida;Mejora significativa de la resistencia cardiovascular | Desarrollo de fuerza en todo el cuerpo | Quema calórica muy elevada | Mejora la coordinación y agilidad;NO RECOMENDADO para personas mayores o con movilidad limitada debido al alto impacto | Riesgo elevado de lesiones en rodillas, muñecas, espalda y hombros | Requiere supervisión profesional y condición física óptima | Evitar completamente si existe cualquier limitación articular o cardiovascular;ia;f;
139;Burpees Estrechos;Narrow_Burpees.mov;avanzado;cardio | fuerza | estabilidad;de_pie;piernas | core | brazos | pecho | hombros | gluteos;;f;"";espalda | rodillas | hombros | munecas | cuello | cadera;fuerza | cardio | estabilidad;Ejercicio de alta intensidad que combina flexión, plancha y salto con posición estrecha de pies, demandando gran resistencia cardiovascular y fuerza de todo el cuerpo.;Los burpees estrechos son una variante avanzada del burpee tradicional donde los pies permanecen juntos durante todo el movimiento. Inicia de pie con pies juntos, se baja al suelo colocando las manos, se llevan los pies atrás en salto a posición de plancha, se realiza una flexión, se vuelven a traer los pies hacia las manos y se salta explosivamente hacia arriba. Este ejercicio de cuerpo completo es extremadamente demandante y NO es apropiado para personas mayores o con movilidad limitada debido a su alto impacto y complejidad.;De pie con pies juntos, agacharse y colocar manos en el suelo | Saltar con pies hacia atrás manteniendo posición estrecha en plancha | Realizar flexión de pecho completa | Saltar con pies hacia adelante cerca de las manos | Saltar explosivamente hacia arriba con brazos extendidos;Entrenamiento cardiovascular de muy alta intensidad | Desarrollo de fuerza explosiva en todo el cuerpo | Mejora de resistencia muscular y cardiovascular;NO RECOMENDADO para personas mayores ni con cualquier limitación de movilidad | Alto riesgo de lesión en rodillas, espalda, muñecas y hombros | Requiere excelente condición física y técnica previa | Extremadamente alto impacto en articulaciones | Puede causar elevación peligrosa de presión arterial;ia;f;
108;Burpees Laterales;Lateral_Burpees.mov;avanzado;cardio | fuerza | equilibrio | estabilidad;de_pie;piernas | core | brazos | hombros | gluteos | pecho;;f;"";espalda | rodillas | hombros | munecas | cuello | cadera;fuerza | equilibrio | confianza;Ejercicio de alta intensidad que combina sentadilla, plancha y salto lateral, trabajando todo el cuerpo con movimiento cardiovascular intenso.;Los burpees laterales son una variante avanzada del burpee tradicional que añade un desplazamiento lateral. El ejercicio comienza de pie, se desciende a posición de sentadilla, se colocan las manos en el suelo, se extienden las piernas hacia atrás en plancha, se vuelve a posición de sentadilla y se salta lateralmente antes de repetir. Este movimiento de alto impacto requiere fuerza significativa en todo el cuerpo, excelente coordinación y resistencia cardiovascular.;Desde posición de pie, agacharse y colocar las manos en el suelo | Extender las piernas hacia atrás para formar una plancha | Recoger las piernas hacia el pecho y levantarse | Realizar un salto lateral controlado | Repetir la secuencia alternando el lado del salto;Mejora significativa de la resistencia cardiovascular | Fortalecimiento integral de todo el cuerpo | Incremento de la coordinación y agilidad;NO RECOMENDADO para personas mayores o con movilidad limitada | Alto riesgo de lesiones en articulaciones por impacto | Requiere supervisión médica previa y excelente condición física | Evitar completamente si existe cualquier limitación articular o cardiovascular;ia;f;
37;Burpees Modificados con Conteo;Count_Modified_Burpees.mov;intermedio;cardio | fuerza | estabilidad;de_pie;piernas | core | brazos | pecho | hombros | gluteos;;t;silla;rodillas | espalda | hombros | munecas | cadera;fuerza | cardio | confianza | movilidad;Versión adaptada del burpee tradicional usando silla como apoyo, combinando sentadilla, inclinación y elevación con conteo para mantener el ritmo.;Los burpees modificados son una adaptación de cuerpo completo del ejercicio clásico, diseñada para personas mayores. Usando una silla resistente como apoyo, el ejercicio combina una sentadilla controlada, inclinación hacia adelante con apoyo de manos en la silla, y retorno a posición erguida. El conteo ayuda a mantener un ritmo constante y seguro. Esta versión elimina el salto y la plancha en el suelo, reduciendo el impacto en articulaciones mientras mantiene los beneficios cardiovasculares y de fortalecimiento muscular.;Colócate frente a una silla estable con pies separados al ancho de hombros | Flexiona rodillas en sentadilla controlada mientras llevas manos al respaldo de la silla | Inclínate hacia adelante apoyando peso en la silla, manteniendo core activado | Regresa a posición erguida de forma controlada, contando cada repetición en voz alta | Mantén la espalda recta durante todo el movimiento y respira de forma constante;Mejora la resistencia cardiovascular de forma segura y adaptada | Fortalece múltiples grupos musculares simultáneamente | Aumenta la coordinación y el control corporal | Mejora la capacidad funcional para actividades diarias;No realizar si hay dolor agudo en rodillas, espalda o hombros | Evitar si existe inestabilidad severa o vértigo | Usar silla muy estable y antideslizante | Reducir velocidad si aparece fatiga excesiva o falta de aire | Contraindicado en personas con problemas cardíacos sin supervisión médica;ia;f;
27;Burpees con Salto Agrupado;Burpee_Tuck_Jumps.mov;avanzado;cardio | fuerza | estabilidad;de_pie;piernas | core | brazos | espalda | hombros | gluteos | pecho;;f;"";espalda | rodillas | hombros | munecas | cuello | cadera;fuerza | movilidad | equilibrio;Ejercicio de alta intensidad que combina una flexión en el suelo con un salto explosivo llevando las rodillas al pecho.;Los Burpees con Salto Agrupado son un ejercicio pliométrico de cuerpo completo y muy alta intensidad. Consiste en descender al suelo en posición de plancha, realizar una flexión, volver a ponerse de pie mediante un salto y finalizar con un salto vertical potente llevando las rodillas hacia el pecho. Requiere fuerza significativa, coordinación avanzada, resistencia cardiovascular y articulaciones saludables.;Desde posición de pie, agacharse y colocar las manos en el suelo | Lanzar los pies hacia atrás para quedar en posición de plancha y realizar una flexión | Saltar con los pies hacia las manos para volver a posición de cuclillas | Realizar un salto vertical explosivo llevando ambas rodillas hacia el pecho | Aterrizar suavemente con rodillas flexionadas y repetir;Mejora drástica de la resistencia cardiovascular | Desarrollo de fuerza explosiva en todo el cuerpo | Quema calórica muy elevada | Mejora de coordinación y agilidad;NO RECOMENDADO para personas mayores o con movilidad limitada | Alto impacto en rodillas, tobillos, muñecas y columna | Contraindicado en cualquier limitación articular o cardiovascular | Requiere evaluación médica previa y condición física excelente;ia;f;
223;Burpees en Estrella;Star_Burpees.mov;avanzado;cardio | fuerza | estabilidad;de_pie;piernas | core | brazos | espalda | hombros | gluteos | pecho;;f;"";espalda | rodillas | hombros | munecas | cuello | cadera;fuerza | movilidad | equilibrio;Ejercicio de alta intensidad que combina flexión, plancha y salto en estrella, requiriendo coordinación y fuerza total del cuerpo.;Los Burpees en Estrella son un ejercicio cardiovascular de alto impacto que involucra todo el cuerpo. Comienza de pie, se desciende al suelo en posición de plancha, se realiza una flexión, se vuelve a posición de pie mediante un salto y se finaliza con un salto explosivo abriendo brazos y piernas en forma de estrella. Es un movimiento complejo que demanda fuerza, resistencia cardiovascular, coordinación y movilidad en múltiples articulaciones simultáneamente.;Desde posición de pie, agacharse y apoyar las manos en el suelo | Saltar con los pies hacia atrás hasta posición de plancha y realizar una flexión de brazos | Saltar con los pies hacia adelante regresando a posición de cuclillas | Realizar un salto explosivo abriendo brazos y piernas en forma de estrella | Aterrizar suavemente con rodillas flexionadas y repetir;Mejora significativa de la resistencia cardiovascular y capacidad aeróbica | Fortalecimiento integral de todo el cuerpo incluyendo piernas, core, brazos y hombros | Quema calórica elevada y mejora de la composición corporal | Desarrollo de coordinación, agilidad y potencia muscular;NO RECOMENDADO para personas mayores o con movilidad limitada debido al alto impacto | Evitar completamente con problemas articulares en rodillas, cadera, muñecas o espalda | Requiere supervisión médica previa y excelente condición física | Alto riesgo de lesiones por impacto y sobrecarga articular | Contraindicado en hipertensión, problemas cardíacos o cualquier limitación de movilidad;ia;f;
