id,nombre_archivo,nombre_espanol,nivel,areas_cuerpo,tipo_ejercicio,posicion,requiere_equipo,equipo_necesario,evitar_si_limitacion,objetivos,descripcion_corta,clasificado_por,verificado_manualmente,created_at
73,High_Plank_Leg_Lifts_Right.mov,Elevaciones de Pierna en Plancha Alta Derecha,avanzado,"core, gluteos, hombros, brazos, espalda, piernas","fuerza, estabilidad, equilibrio",cuadrupedia,t,esterilla,"espalda, hombros, munecas, cuello","fuerza, estabilidad, equilibrio, postura","Ejercicio avanzado que combina plancha alta con elevación de pierna derecha, requiriendo gran fuerza del core y estabilidad corporal.",ia,f,2026-01-05 21:29:19.360927
74,High_Side_Plank_Left.mov,Plancha Lateral Alta (Lado Izquierdo),avanzado,"core, hombros, brazos, oblicuos","fuerza, estabilidad, equilibrio",suelo,t,esterilla,"hombros, munecas, espalda, cuello","fuerza, estabilidad, postura","Ejercicio avanzado de plancha lateral apoyado sobre la mano, manteniendo el cuerpo elevado en línea recta sobre el lado izquierdo.",ia,f,2026-01-05 21:29:34.797738
75,High_Side_Plank_Right.mov,Plancha Lateral Alta (Lado Derecho),avanzado,"core, hombros, brazos, gluteos","fuerza, estabilidad, equilibrio",suelo,t,esterilla,"hombros, munecas, espalda, cuello","fuerza, estabilidad, postura, equilibrio","Ejercicio isométrico avanzado de plancha lateral en posición alta, apoyado sobre la mano derecha, manteniendo el cuerpo en línea recta.",ia,f,2026-01-05 21:29:50.753499
76,Hindu_Push-ups.mov,Flexiones Hindúes,avanzado,"brazos, hombros, pecho, espalda, core","fuerza, movilidad, estabilidad",suelo,f,esterilla,"espalda, hombros, munecas, cuello, cadera","fuerza, movilidad, flexibilidad, postura","Flexión dinámica que combina movimiento de onda corporal, trabajando todo el tren superior con transición fluida.",ia,f,2026-01-05 21:30:05.735983
77,Hip_Abduction_Left.mov,Abducción de cadera izquierda,iniciacion,"piernas, gluteos, cadera","movilidad, fuerza, equilibrio",de_pie,f,"silla, pared",cadera,"movilidad, fuerza, equilibrio, estabilidad",Ejercicio de elevación lateral de la pierna izquierda para fortalecer abductores de cadera y mejorar el equilibrio.,ia,f,2026-01-05 21:30:20.68146
78,Hip_Abduction_Right.mov,Abducción de cadera derecha,iniciacion,"piernas, gluteos, cadera","movilidad, fuerza, estabilidad",de_pie,f,"silla, pared",cadera,"movilidad, fuerza, equilibrio, confianza","Movimiento lateral de la pierna derecha hacia afuera, fortaleciendo abductores de cadera y glúteo medio.",ia,f,2026-01-05 21:30:34.636438
79,Hip_Adduction_Left.mov,Aducción de cadera izquierda,iniciacion,"piernas, cadera, gluteos","fuerza, movilidad, estabilidad",de_pie,f,"silla, pared",cadera,"fuerza, movilidad, equilibrio, estabilidad","Movimiento de la pierna izquierda hacia la línea media del cuerpo, fortaleciendo los músculos aductores de la cadera.",ia,f,2026-01-05 21:30:48.535651
80,Hip_Adduction_Right.mov,Aducción de Cadera Derecha,iniciacion,"piernas, cadera, gluteos","fuerza, movilidad",de_pie,f,"pared, silla",cadera,"fuerza, movilidad, equilibrio, estabilidad",Movimiento de la pierna derecha hacia la línea media del cuerpo para fortalecer los músculos aductores internos del muslo.,ia,f,2026-01-05 21:31:01.843371
81,In_and_Out_Jump_Squats.mov,Sentadillas con Salto Abriendo y Cerrando Piernas,avanzado,"piernas, gluteos, core","cardio, fuerza, equilibrio",de_pie,f,,"rodillas, cadera, espalda","fuerza, equilibrio",Ejercicio pliométrico que combina sentadillas con saltos alternando posición de piernas abiertas y cerradas.,ia,f,2026-01-05 21:31:13.900556
82,Inchworm_Low_Plank.mov,Gusano con Plancha Baja,avanzado,"core, brazos, hombros, espalda, piernas","fuerza, movilidad, estabilidad",de_pie,t,esterilla,"espalda, hombros, munecas, cuello","fuerza, movilidad, flexibilidad, postura",Ejercicio dinámico que combina flexión hacia adelante caminando con las manos hasta posición de plancha baja sobre antebrazos.,ia,f,2026-01-05 21:31:30.94148
83,Inchworms.mov,Gusano medidor,avanzado,"core, hombros, brazos, espalda, piernas","fuerza, movilidad, estabilidad",de_pie,f,,"espalda, hombros, munecas, rodillas","fuerza, movilidad, flexibilidad, postura","Ejercicio dinámico que combina flexión hacia adelante caminando con las manos hacia plancha y retorno, trabajando todo el cuerpo.",ia,f,2026-01-05 21:31:45.415391
84,Inclined_Wall_Push-ups.mov,Flexiones en pared inclinada,iniciacion,"brazos, hombros, pecho",fuerza,de_pie,t,pared,"hombros, munecas","fuerza, postura, confianza","Flexiones realizadas contra una pared en posición inclinada, ideal para fortalecer brazos, hombros y pecho sin necesidad de tirarse al suelo.",ia,f,2026-01-05 21:32:00.704146
85,JackKnife.mov,Navaja o Jackknife,avanzado,"core, piernas, espalda","fuerza, estabilidad",tumbado,t,esterilla,"espalda, cuello, cadera","fuerza, estabilidad, flexibilidad","Ejercicio abdominal avanzado donde se elevan simultáneamente piernas y tronco desde posición tumbada, formando una 'V' con el cuerpo.",ia,f,2026-01-05 21:32:15.332356
86,Jacks.mov,Saltos de tijera o jumping jacks,avanzado,"piernas, brazos, hombros, core, gluteos","cardio, fuerza, equilibrio",de_pie,f,,"rodillas, cadera, hombros, espalda","fuerza, equilibrio, confianza",Ejercicio cardiovascular de impacto que combina saltos con apertura simultánea de piernas y brazos.,ia,f,2026-01-05 21:32:28.27065
87,Jog_In_Place.mov,Trote en el sitio,intermedio,"piernas, core, gluteos","cardio, equilibrio",de_pie,f,,"rodillas, cadera, espalda","cardio, equilibrio, fuerza, confianza","Ejercicio cardiovascular que consiste en simular el movimiento de trote sin desplazarse, elevando las rodillas alternadamente.",ia,f,2026-01-05 21:32:42.931476
88,Jump_Lunges.mov,Zancadas con Salto,avanzado,"piernas, gluteos, core","cardio, fuerza, equilibrio",de_pie,f,,"rodillas, cadera, espalda","fuerza, equilibrio, confianza","Ejercicio pliométrico que combina zancadas alternadas con saltos explosivos, requiriendo alta intensidad y coordinación.",ia,f,2026-01-05 21:32:55.703998
89,Jump_Squats.mov,Sentadillas con Salto,avanzado,"piernas, gluteos, core","fuerza, cardio, equilibrio",de_pie,f,,"rodillas, cadera, espalda","fuerza, equilibrio, confianza",Ejercicio de alta intensidad que combina sentadilla profunda con salto explosivo vertical.,ia,f,2026-01-05 21:33:09.744675
90,Jumping_Jacks.mov,Saltos de tijera,avanzado,"piernas, brazos, hombros, core, gluteos","cardio, fuerza, equilibrio",de_pie,f,,"rodillas, cadera, hombros, espalda","fuerza, equilibrio, confianza",Ejercicio cardiovascular de alto impacto que implica saltos con apertura y cierre simultáneo de piernas y brazos.,ia,f,2026-01-05 21:33:23.89261
